country,pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,buy_rate,sell_rate,date
Australien,AUD/SEK,AUD,SEK,1,6.6673,6.7474,6.6673,6.7474,10/7
Danmark,DKK/SEK,DKK,SEK,1,1.46917,1.48517,1.46917,1.48517,10/7
Euro,EUR/SEK,EUR,SEK,1,10.972,11.112,10.972,11.112,10/7
Hongkong,HKD/SEK,HKD,SEK,1,1.2185,1.2448,1.2185,1.2448,10/7
Indien,INR/SEK,INR,SEK,1,0.09817,0.104371,0.09817,0.104371,10/7
Indonesien,IDR/SEK,IDR,SEK,1,0.000521,0.000554,0.000521,0.000554,10/7
Island,ISK/SEK,ISK,SEK,1,0.076834,0.077174,0.076834,0.077174,10/7
Japan,JPY/SEK,JPY,SEK,1,0.059255,0.060196,0.059255,0.060196,10/7
Kanada,CAD/SEK,CAD,SEK,1,6.7725,6.8585,6.7725,6.8585,10/7
Kina,CNY/SEK,CNY,SEK,1,1.4142,1.4343,1.4142,1.4343,10/7
Malaysia,MYR/SEK,MYR,SEK,1,2.359535,2.389535,2.359535,2.389535,10/7
Marocko,MAD/SEK,MAD,SEK,1,1.0147,1.0493,1.0147,1.0493,10/7
Mexiko,MXN/SEK,MXN,SEK,1,0.5441,0.5582,0.5441,0.5582,10/7
Norge,NOK/SEK,NOK,SEK,1,0.98776,1.00076,0.98776,1.00076,10/7
Nya Zeeland,NZD/SEK,NZD,SEK,1,5.5307,5.6128,5.5307,5.6128,10/7
Polen,PLN/SEK,PLN,SEK,1,2.5204,2.5604,2.5204,2.5604,10/7
Ryssland,RUB/SEK,RUB,SEK,1,0.12319,0.12757,0.12319,0.12757,10/7
Saudiarabien,SAR/SEK,SAR,SEK,1,2.5399,2.6041,2.5399,2.6041,10/7
Schweiz,CHF/SEK,CHF,SEK,1,11.93145,12.04345,11.93145,12.04345,10/7
Singapore,SGD/SEK,SGD,SEK,1,7.4435,7.515,7.4435,7.515,10/7
Storbritannien,GBP/SEK,GBP,SEK,1,12.8858,13.0259,12.8858,13.0259,10/7
Sydafrika,ZAR/SEK,ZAR,SEK,1,0.5833,0.6014,0.5833,0.6014,10/7
Sydkorea,KRW/SEK,KRW,SEK,1,0.006322,0.006494,0.006322,0.006494,10/7
Thailand,THB/SEK,THB,SEK,1,0.2868,0.2927,0.2868,0.2927,10/7
Tjeckien,CZK/SEK,CZK,SEK,1,0.4519,0.4585,0.4519,0.4585,10/7
Turkiet,TRY/SEK,TRY,SEK,1,0.1709,0.2398,0.1709,0.2398,10/7
Ungern,HUF/SEK,HUF,SEK,1,0.030575,0.031336,0.030575,0.031336,10/7
USA,USD/SEK,USD,SEK,1,9.5879,9.723,9.5879,9.723,10/7
